iter	MultiClass
0	1.098504708
1	1.098294087
2	1.098194365
3	1.098066426
4	1.097986702
5	1.09787533
6	1.097727415
7	1.097649649
8	1.097541524
9	1.097431965
10	1.097332046
11	1.097254697
12	1.097098938
13	1.097042315
14	1.096968243
15	1.096863286
16	1.096746527
17	1.09669194
18	1.096577197
19	1.096497468
20	1.096418479
21	1.09633414
22	1.096286775
23	1.096210642
24	1.096129658
25	1.096105114
26	1.096002776
27	1.095924544
28	1.095869046
29	1.095808601
30	1.095751958
31	1.095659857
32	1.095627458
33	1.095546165
34	1.095508581
35	1.095429629
36	1.095381878
37	1.09527474
38	1.095232305
39	1.095195365
40	1.095156773
41	1.095107059
42	1.095089381
43	1.095061082
44	1.09504298
45	1.095010179
46	1.094990378
47	1.09495551
48	1.09490031
49	1.094882374
50	1.094837202
51	1.094803601
52	1.094776795
53	1.094759616
54	1.094749723
55	1.094714125
56	1.094626793
57	1.094568311
58	1.094538245
59	1.094515572
60	1.094486229
61	1.09441366
62	1.094382318
63	1.094306875
64	1.094287965
65	1.094223106
66	1.094169946
67	1.094150491
68	1.094092769
69	1.094061156
70	1.094042047
71	1.094002841
72	1.093963789
73	1.093907922
74	1.093857607
75	1.093833442
76	1.093803049
77	1.093770269
78	1.093747144
79	1.093723166
80	1.09366342
81	1.093633251
82	1.09360504
83	1.093594157
84	1.093587323
85	1.093557095
86	1.093532435
87	1.093518139
88	1.093508174
89	1.093491588
90	1.093477502
91	1.093447651
92	1.093395841
93	1.093328053
94	1.093314412
95	1.093295945
96	1.093273111
97	1.093264023
98	1.093247626
99	1.093235545
100	1.09323304
101	1.093190717
102	1.093160071
103	1.093143005
104	1.093097324
105	1.093061411
106	1.093046923
107	1.093014791
108	1.092981503
109	1.092961252
110	1.092909493
111	1.092886507
112	1.092835946
113	1.09279815
114	1.092782542
115	1.092767627
116	1.092751319
117	1.092734847
118	1.092728713
119	1.092704336
120	1.092686226
121	1.092615111
122	1.092608442
123	1.092583583
124	1.092574616
125	1.09254724
126	1.092534946
127	1.092507286
128	1.09248786
129	1.092474162
130	1.092450342
131	1.092422101
132	1.092402643
133	1.092389384
134	1.092365836
135	1.09235146
136	1.092332765
137	1.092322093
138	1.092310144
139	1.092304429
140	1.092300145
141	1.092282171
142	1.092258314
143	1.092234119
144	1.092185241
145	1.09216426
146	1.092145303
147	1.092128819
148	1.092104577
149	1.092076318
150	1.092065502
151	1.092052859
152	1.092008328
153	1.091980517
154	1.09197154
155	1.091953645
156	1.091931241
157	1.091919951
158	1.091888442
159	1.091878445
160	1.091866519
161	1.091836561
162	1.091818186
163	1.091813527
164	1.091808965
165	1.091788532
166	1.091780261
167	1.09176031
168	1.091751184
169	1.091746411
170	1.091725308
171	1.091713916
172	1.091689701
173	1.091684874
174	1.091663452
175	1.091657179
176	1.091611157
177	1.091590971
178	1.091587931
