iter	Passed	Remaining
0	187	187328
1	375	187495
2	558	185662
3	741	184596
4	940	187114
5	1135	188160
6	1337	189674
7	1542	191324
8	1805	198810
9	2039	201879
10	2253	202627
11	2457	202312
12	2692	204437
13	2934	206672
14	3206	210552
15	3495	214982
16	3803	219934
17	4109	224174
18	4352	224738
19	4597	225263
20	4878	227408
21	5126	227876
22	5334	226588
23	5552	225799
24	5772	225127
25	6033	226025
26	6283	226429
27	6529	226670
28	6787	227255
29	7008	226595
30	7240	226329
31	7474	226096
32	7799	228554
33	8055	228879
34	8311	229160
35	8597	230232
36	8833	229902
37	9146	231540
38	9408	231840
39	9618	230837
40	9805	229346
41	9989	227864
42	10183	226632
43	10362	225151
44	10541	223720
45	10729	222521
46	10910	221237
47	11093	220015
48	11278	218885
49	11456	217681
50	11639	216587
51	11825	215593
52	12007	214556
53	12207	213855
54	12391	212906
55	12576	212005
56	12769	211253
57	12955	210416
58	13142	209609
59	13329	208829
60	13515	208054
61	13710	207431
62	13896	206678
63	14083	205977
64	14288	205539
65	14480	204914
66	14718	204958
67	14957	205005
68	15168	204667
69	15352	203970
70	15537	203295
71	15725	202683
72	15912	202066
73	16099	201458
74	16300	201045
75	16488	200468
76	16680	199952
77	16865	199355
78	17053	198807
79	17237	198235
80	17422	197669
81	17610	197146
82	17800	196663
83	17987	196151
84	18174	195642
85	18372	195263
86	18560	194775
87	18752	194348
88	18937	193842
89	19124	193366
90	19315	192945
91	19504	192501
92	19696	192089
93	19881	191619
94	20063	191127
95	20242	190618
96	20443	190316
97	20628	189867
98	20820	189490
99	21005	189051
100	21188	188598
101	21370	188146
102	21553	187703
103	21740	187299
104	21923	186875
105	22107	186454
106	22287	186008
107	22486	185717
108	22673	185343
109	22878	185107
110	23067	184747
111	23255	184384
112	23442	184016
113	23638	183719
114	23824	183342
115	24010	182976
116	24193	182588
117	24377	182210
118	24570	181905
119	24757	181557
120	24938	181164
121	25129	180850
122	25311	180474
123	25495	180112
124	25681	179770
125	25866	179420
126	26052	179086
127	26235	178726
128	26417	178371
129	26613	178106
130	26796	177757
131	26974	177378
132	27156	177028
133	27337	176671
134	27519	176328
135	27705	176009
136	27885	175659
137	28065	175305
138	28245	174960
139	28424	174607
140	28617	174345
141	28844	174284
142	29030	173978
143	29213	173658
144	29400	173360
145	29580	173026
146	29766	172728
147	29956	172450
148	30167	172301
149	30402	172283
150	30617	172147
151	30833	172019
152	31064	171971
153	31391	172451
154	31649	172542
155	31970	172970
156	32158	172674
157	32373	172523
158	32631	172598
159	32889	172670
160	33108	172534
161	33293	172223
162	33475	171894
163	33665	171614
164	33847	171288
165	34067	171158
166	34316	171173
167	34546	171086
168	34772	170980
169	34985	170812
170	35204	170669
171	35447	170640
172	35671	170520
173	35873	170294
174	36116	170262
175	36348	170174
176	36535	169881
177	36722	169583
178	36904	169265
179	37160	169286
180	37395	169210
181	37602	169005
182	37798	168750
183	38056	168771
184	38274	168613
185	38502	168499
186	38766	168539
187	39047	168651
188	39298	168628
189	39493	168366
190	39680	168072
191	39884	167846
192	40072	167557
193	40263	167281
194	40455	167006
195	40698	166948
196	40986	167065
197	41245	167063
198	41432	166769
199	41621	166486
200	41804	166179
201	41988	165875
202	42171	165570
203	42366	165311
204	42553	165023
205	42736	164721
206	42917	164414
207	43105	164132
208	43302	163886
209	43486	163592
210	43691	163378
211	43878	163093
