iter	MultiClass	Accuracy:use_weights=true	Accuracy:use_weights=false	MultiClass:use_weights=true	MultiClass:use_weights=false
0	1.406247393	0.9772893743	0.9772893743	1.406247393	1.406247393
1	1.132620415	0.9772029595	0.9772029595	1.132620415	1.132620415
2	0.9483229576	0.9774169389	0.9774169389	0.9483229576	0.9483229576
3	0.8111277127	0.9774333989	0.9774333989	0.8111277127	0.8111277127
4	0.7038768908	0.9776885282	0.9776885282	0.7038768908	0.7038768908
5	0.6176943698	0.9776885282	0.9776885282	0.6176943698	0.6176943698
6	0.546728498	0.977774943	0.977774943	0.546728498	0.546728498
7	0.4869274642	0.9776885282	0.9776885282	0.4869274642	0.4869274642
8	0.4364163989	0.9776844132	0.9776844132	0.4364163989	0.4364163989
9	0.3930018729	0.9776802983	0.9776802983	0.3930018729	0.3930018729
10	0.3553969331	0.9776844132	0.9776844132	0.3553969331	0.3553969331
11	0.322979249	0.9776802983	0.9776802983	0.322979249	0.322979249
12	0.294629309	0.9776802983	0.9776802983	0.294629309	0.294629309
13	0.2696160039	0.9776802983	0.9776802983	0.2696160039	0.2696160039
14	0.2477284469	0.9776802983	0.9776802983	0.2477284469	0.2477284469
15	0.2280977683	0.9776802983	0.9776802983	0.2280977683	0.2280977683
16	0.2109874691	0.9776802983	0.9776802983	0.2109874691	0.2109874691
17	0.19568208	0.9776802983	0.9776802983	0.19568208	0.19568208
18	0.1820775757	0.977766713	0.977766713	0.1820775757	0.1820775757
19	0.1697943746	0.977766713	0.977766713	0.1697943746	0.1697943746
20	0.1587821608	0.977774943	0.977774943	0.1587821608	0.1587821608
21	0.1490296502	0.977774943	0.977774943	0.1490296502	0.1490296502
22	0.1403803721	0.977774943	0.977774943	0.1403803721	0.1403803721
23	0.1325170431	0.977774943	0.977774943	0.1325170431	0.1325170431
24	0.1255551283	0.977787288	0.977787288	0.1255551283	0.1255551283
25	0.1193925005	0.977787288	0.977787288	0.1193925005	0.1193925005
26	0.1135372442	0.977787288	0.977787288	0.1135372442	0.1135372442
27	0.1085367762	0.977787288	0.977787288	0.1085367762	0.1085367762
28	0.1038807515	0.977791403	0.977791403	0.1038807515	0.1038807515
29	0.09982388385	0.977791403	0.977791403	0.09982388385	0.09982388385
30	0.09605435991	0.977791403	0.977791403	0.09605435991	0.09605435991
31	0.09264696785	0.977791403	0.977791403	0.09264696785	0.09264696785
32	0.08973681652	0.977791403	0.977791403	0.08973681652	0.08973681652
33	0.08719219415	0.977791403	0.977791403	0.08719219415	0.08719219415
34	0.08462529975	0.977791403	0.977791403	0.08462529975	0.08462529975
35	0.08259279159	0.977791403	0.977791403	0.08259279159	0.08259279159
36	0.0805544678	0.977791403	0.977791403	0.0805544678	0.0805544678
37	0.0787402633	0.977791403	0.977791403	0.0787402633	0.0787402633
38	0.0771162606	0.977791403	0.977791403	0.0771162606	0.0771162606
39	0.07561007169	0.977791403	0.977791403	0.07561007169	0.07561007169
40	0.07438174756	0.977791403	0.977791403	0.07438174756	0.07438174756
41	0.07310363685	0.977791403	0.977791403	0.07310363685	0.07310363685
42	0.07198049215	0.977791403	0.977791403	0.07198049215	0.07198049215
43	0.07094263603	0.977791403	0.977791403	0.07094263603	0.07094263603
44	0.07009871702	0.977791403	0.977791403	0.07009871702	0.07009871702
45	0.06931024735	0.977791403	0.977791403	0.06931024735	0.06931024735
46	0.06854255942	0.977791403	0.977791403	0.06854255942	0.06854255942
47	0.06784876606	0.977791403	0.977791403	0.06784876606	0.06784876606
48	0.06729881114	0.977791403	0.977791403	0.06729881114	0.06729881114
49	0.06674038541	0.977791403	0.977791403	0.06674038541	0.06674038541
50	0.06617797173	0.977791403	0.977791403	0.06617797173	0.06617797173
