iter	Passed	Remaining
0	350	349889
1	674	336582
2	919	305570
3	1080	269130
4	1233	245429
5	1389	230164
6	1558	221094
7	1751	217206
8	1949	214632
9	2144	212350
10	2318	208436
11	2483	204448
12	2661	202062
13	2872	202328
14	3075	201981
15	3246	199678
16	3396	196406
17	3588	195755
18	3773	194826
19	3955	193809
20	4120	192072
21	4278	190185
22	4441	188659
23	4593	186811
24	4746	185095
25	4892	183287
26	5036	181490
27	5180	179852
28	5326	178353
29	5473	176976
30	5621	175707
31	5766	174438
32	5914	173320
33	6070	172466
34	6249	172301
35	6402	171436
36	6563	170830
37	6759	171127
38	6940	171029
39	7094	170273
40	7268	170007
41	7427	169411
42	7570	168495
43	7738	168138
44	7905	167763
45	8065	167280
46	8241	167109
47	8453	167664
48	8674	168364
49	8887	168863
50	9109	169509
51	9280	169199
52	9522	170144
53	9758	170949
54	9930	170629
55	10175	171529
56	10385	171811
57	10555	171439
58	10768	171751
59	10938	171369
60	11088	170689
61	11238	170024
62	11387	169372
63	11537	168741
64	11695	168237
65	11846	167640
66	11993	167009
67	12139	166381
68	12289	165814
69	12439	165264
70	12589	164724
71	12737	164175
72	12838	163032
73	12991	162567
74	13141	162081
75	13292	161612
76	13443	161153
77	13594	160690
78	13743	160222
79	13891	159747
80	14040	159304
81	14186	158824
82	14331	158342
83	14478	157882
84	14625	157436
85	14775	157035
86	14925	156635
87	15073	156213
88	15236	155955
89	15389	155600
90	15536	155194
91	15689	154845
92	15839	154481
93	16009	154303
94	16159	153941
95	16311	153604
96	16459	153223
97	16606	152851
98	16762	152558
99	16913	152217
100	17064	151887
101	17214	151555
102	17387	151420
103	17535	151078
104	17688	150775
105	17842	150483
106	17995	150183
107	18143	149854
108	18297	149569
109	18448	149261
110	18600	148973
111	18765	148779
112	18917	148497
113	19065	148177
114	19226	147961
115	19378	147678
116	19526	147365
117	19675	147066
118	19826	146780
119	19975	146488
120	20126	146207
121	20275	145914
122	20425	145634
123	20569	145317
124	20721	145048
125	20872	144780
126	21022	144506
127	21171	144233
128	21320	143957
129	21469	143679
130	21615	143391
131	21765	143126
132	21915	142863
133	22064	142596
134	22215	142340
135	22368	142107
136	22515	141831
137	22661	141553
138	22811	141301
139	22957	141025
140	23107	140774
141	23255	140516
142	23403	140255
143	23553	140012
144	23708	139795
145	23857	139549
146	24005	139299
147	24153	139046
148	24302	138801
149	24452	138561
150	24601	138319
151	24750	138083
152	24901	137851
153	25051	137622
154	25200	137385
155	25348	137142
156	25496	136900
157	25646	136674
158	25794	136435
159	25944	136206
160	26094	135985
161	26245	135762
162	26393	135530
163	26540	135291
164	26689	135062
165	26837	134832
166	26983	134596
167	27131	134365
168	27283	134158
169	27434	133945
170	27590	133759
171	27740	133542
172	27889	133319
173	28039	133108
174	28193	132914
175	28350	132729
176	28502	132527
177	28651	132313
178	28802	132104
179	28948	131875
180	29098	131668
181	29246	131449
182	29407	131291
183	29559	131089
184	29714	130902
185	29863	130692
186	30020	130515
187	30174	130326
188	30326	130133
189	30492	129995
190	30656	129847
191	30812	129668
192	30965	129479
193	31121	129298
194	31270	129092
195	31418	128881
196	31567	128672
197	31724	128499
198	31873	128295
199	32026	128106
200	32174	127898
201	32324	127698
202	32486	127547
203	32639	127357
204	32792	127170
205	32942	126970
206	33089	126763
207	33241	126572
208	33390	126370
209	33544	126189
210	33693	125991
211	33842	125793
212	33991	125592
213	34137	125384
214	34287	125189
215	34443	125017
216	34599	124845
217	34756	124677
218	34908	124491
219	35057	124293
220	35205	124093
221	35360	123919
222	35513	123741
223	35666	123560
224	35814	123361
225	36009	123325
226	36165	123155
227	36321	122982
228	36470	122789
229	36621	122603
230	36773	122418
231	36922	122227
232	37070	122029
233	37219	121838
234	37368	121645
235	37518	121457
236	37667	121268
237	37814	121070
238	37968	120897
239	38129	120744
240	38286	120578
241	38448	120428
242	38610	120280
243	38758	120088
244	38907	119897
245	39057	119711
246	39206	119524
247	39354	119333
248	39510	119167
249	39676	119028
250	39829	118852
251	39976	118661
252	40126	118477
253	40274	118285
254	40423	118098
255	40570	117909
256	40727	117746
257	40875	117555
258	41025	117373
259	41171	117180
260	41319	116993
261	41470	116813
262	41617	116624
263	41769	116447
264	41919	116265
265	42069	116085
266	42217	115899
267	42366	115717
268	42512	115525
269	42660	115341
270	42807	115153
271	42956	114971
272	43105	114790
273	43255	114609
274	43407	114438
275	43558	114262
276	43705	114075
277	43853	113893
278	44000	113707
279	44148	113525
280	44299	113350
281	44447	113168
282	44601	113000
283	44749	112818
284	44898	112640
285	45046	112458
286	45193	112275
287	45345	112103
288	45498	111934
289	45646	111754
290	45793	111571
291	45941	111393
292	46091	111216
293	46237	111033
294	46388	110859
295	46537	110683
296	46688	110511
297	46833	110326
298	46986	110158
299	47140	109994
300	47289	109819
301	47440	109647
302	47600	109496
303	47751	109326
304	47905	109162
305	48053	108984
306	48202	108808
307	48350	108630
308	48499	108457
309	48652	108289
310	48800	108115
311	48952	107945
312	49101	107773
313	49250	107598
314	49399	107424
315	49545	107244
316	49706	107096
317	49856	106925
318	50008	106757
319	50159	106589
320	50307	106414
321	50454	106237
322	50603	106063
323	50783	105955
324	50985	105893
325	51135	105721
326	51285	105549
327	51434	105377
328	51586	105210
329	51732	105032
330	51879	104855
331	52025	104678
332	52175	104507
333	52324	104335
334	52475	104166
335	52624	103996
336	52773	103823
337	52919	103648
338	53070	103478
339	53217	103304
340	53365	103131
341	53513	102959
342	53664	102792
343	53813	102621
344	53960	102447
345	54108	102273
346	54256	102102
347	54406	101933
348	54554	101761
349	54703	101592
350	54853	101423
351	55002	101254
352	55152	101086
353	55301	100918
