/Users/mac2/Library/Python/3.9/lib/python/site-packages/xgboost/core.py:158: UserWarning:

[16:51:43] WARNING: /Users/runner/work/xgboost/xgboost/src/learner.cc:740:
Parameters: { "use_label_encoder" } are not used.
[0]	validation_0-mlogloss:1.68392	validation_1-mlogloss:1.68564
[1]	validation_0-mlogloss:1.54888	validation_1-mlogloss:1.55155
[2]	validation_0-mlogloss:1.46380	validation_1-mlogloss:1.46732
[3]	validation_0-mlogloss:1.40641	validation_1-mlogloss:1.41082
[4]	validation_0-mlogloss:1.36621	validation_1-mlogloss:1.37146
[5]	validation_0-mlogloss:1.33753	validation_1-mlogloss:1.34341
[6]	validation_0-mlogloss:1.31652	validation_1-mlogloss:1.32310
[7]	validation_0-mlogloss:1.30099	validation_1-mlogloss:1.30819
[8]	validation_0-mlogloss:1.28926	validation_1-mlogloss:1.29719
[9]	validation_0-mlogloss:1.28044	validation_1-mlogloss:1.28894
[10]	validation_0-mlogloss:1.27359	validation_1-mlogloss:1.28274
[11]	validation_0-mlogloss:1.26830	validation_1-mlogloss:1.27807
[12]	validation_0-mlogloss:1.26407	validation_1-mlogloss:1.27464
[13]	validation_0-mlogloss:1.26081	validation_1-mlogloss:1.27204
[14]	validation_0-mlogloss:1.25834	validation_1-mlogloss:1.27005
[15]	validation_0-mlogloss:1.25620	validation_1-mlogloss:1.26856
[16]	validation_0-mlogloss:1.25439	validation_1-mlogloss:1.26746
[17]	validation_0-mlogloss:1.25291	validation_1-mlogloss:1.26678
[18]	validation_0-mlogloss:1.25175	validation_1-mlogloss:1.26625
[19]	validation_0-mlogloss:1.25063	validation_1-mlogloss:1.26590
[20]	validation_0-mlogloss:1.24971	validation_1-mlogloss:1.26570
[21]	validation_0-mlogloss:1.24879	validation_1-mlogloss:1.26555
[22]	validation_0-mlogloss:1.24798	validation_1-mlogloss:1.26554
[23]	validation_0-mlogloss:1.24718	validation_1-mlogloss:1.26555
[24]	validation_0-mlogloss:1.24651	validation_1-mlogloss:1.26560
[25]	validation_0-mlogloss:1.24585	validation_1-mlogloss:1.26567
[26]	validation_0-mlogloss:1.24514	validation_1-mlogloss:1.26583
[27]	validation_0-mlogloss:1.24442	validation_1-mlogloss:1.26596
[28]	validation_0-mlogloss:1.24384	validation_1-mlogloss:1.26612
[29]	validation_0-mlogloss:1.24317	validation_1-mlogloss:1.26635
[30]	validation_0-mlogloss:1.24253	validation_1-mlogloss:1.26662
[31]	validation_0-mlogloss:1.24190	validation_1-mlogloss:1.26675
[32]	validation_0-mlogloss:1.24139	validation_1-mlogloss:1.26692
[33]	validation_0-mlogloss:1.24080	validation_1-mlogloss:1.26703
[34]	validation_0-mlogloss:1.24030	validation_1-mlogloss:1.26728
[35]	validation_0-mlogloss:1.23966	validation_1-mlogloss:1.26744
[36]	validation_0-mlogloss:1.23917	validation_1-mlogloss:1.26764
[37]	validation_0-mlogloss:1.23863	validation_1-mlogloss:1.26775
[38]	validation_0-mlogloss:1.23810	validation_1-mlogloss:1.26796
[39]	validation_0-mlogloss:1.23767	validation_1-mlogloss:1.26820
[40]	validation_0-mlogloss:1.23720	validation_1-mlogloss:1.26835
[41]	validation_0-mlogloss:1.23659	validation_1-mlogloss:1.26856
[42]	validation_0-mlogloss:1.23617	validation_1-mlogloss:1.26876
[43]	validation_0-mlogloss:1.23570	validation_1-mlogloss:1.26896
[44]	validation_0-mlogloss:1.23516	validation_1-mlogloss:1.26921
[45]	validation_0-mlogloss:1.23464	validation_1-mlogloss:1.26938
[46]	validation_0-mlogloss:1.23407	validation_1-mlogloss:1.26960
[47]	validation_0-mlogloss:1.23362	validation_1-mlogloss:1.26979
[48]	validation_0-mlogloss:1.23318	validation_1-mlogloss:1.26993
[49]	validation_0-mlogloss:1.23273	validation_1-mlogloss:1.27015
[50]	validation_0-mlogloss:1.23230	validation_1-mlogloss:1.27031
